prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
64,64,2,16384,30.3577
64,64,4,16,22.7193
64,64,4,64,22.528
64,64,4,256,24.278
64,64,4,1024,24.693
64,64,4,4096,25.675
64,64,4,16384,33.9087
64,64,8,16,23.2
64,64,8,64,23.6593
64,64,8,256,24.4807
64,64,8,1024,25.4297
64,64,8,4096,26.8903
64,64,8,16384,37.045
64,64,16,16,23.168
64,64,16,64,23.349
64,64,16,256,24.4473
64,64,16,1024,25.5997
64,64,16,4096,31.264
64,64,16,16384,46.5603
64,64,32,16,23.2967
64,64,32,64,23.328
64,64,32,256,24.629
64,64,32,1024,26.5713
64,64,32,4096,34.5487
64,64,32,16384,63.9033
64,64,64,16,23.765
64,64,64,64,24.0423
64,64,64,256,25.398
64,64,64,1024,29.909
64,64,64,4096,44.8953
64,64,64,16384,100.97
64,64,128,16,24.9067
64,64,128,64,24.992
64,64,128,256,27.2317
64,64,128,1024,34.8057
64,64,128,4096,66.1967
64,64,128,16384,174.463
64,256,0,0,17.163
64,256,1,16,21.963
64,256,1,64,22.3993
64,256,1,256,23.317
64,256,1,1024,24.255
64,256,1,4096,24.8637
64,256,1,16384,29.8237
64,256,2,16,24.6823
64,256,2,64,24.5433
64,256,2,256,25.9403
64,256,2,1024,26.602
64,256,2,4096,27.4553
64,256,2,16384,33.1947
64,256,4,16,25.8777
64,256,4,64,25.963
64,256,4,256,27.3277
64,256,4,1024,27.8933
64,256,4,4096,28.8753
64,256,4,16384,36.8533
64,256,8,16,26.3793
64,256,8,64,26.058
64,256,8,256,27.392
64,256,8,1024,28.3727
64,256,8,4096,29.7067
64,256,8,16384,40.054
64,256,16,16,26.2507
64,256,16,64,26.0687
64,256,16,256,27.4023
64,256,16,1024,28.662
64,256,16,4096,34.2603
64,256,16,16384,49.1513
64,256,32,16,26.112
64,256,32,64,26.2073
64,256,32,256,27.7663
64,256,32,1024,29.3547
64,256,32,4096,37.6003
64,256,32,16384,66.4527
64,256,64,16,26.5807
64,256,64,64,26.6663
64,256,64,256,28.1697
64,256,64,1024,32.576
64,256,64,4096,47.9367
64,256,64,16384,103.061
64,256,128,16,27.9153
64,256,128,64,27.84
64,256,128,256,30.2393
64,256,128,1024,37.8347
64,256,128,4096,69.354
64,256,128,16384,176.832
64,1024,0,0,25.6647
64,1024,1,16,32.0013
64,1024,1,64,31.9467
64,1024,1,256,31.8713
64,1024,1,1024,32.9813
64,1024,1,4096,33.771
64,1024,1,16384,39.2
64,1024,2,16,34.164
64,1024,2,64,34.197
64,1024,2,256,33.9843
64,1024,2,1024,35.2843
64,1024,2,4096,35.851
