pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
1024,n<=128,sr<=40%,kvB<=4k,kp<=4k,-0.0509,1
1024,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.025,1
1024,n<=128,sr<=40%,kvB<=4k,kp<=8k,-0.0381,1
1024,n<=128,sr<=40%,kvB<=4k,kp=0,-0.017,1
1024,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.0331,4
1024,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0463,4
1024,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.0341,4
1024,n<=128,sr<=5%,kvB<=1k,kp=0,0.0381,4
1024,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.0051,4
1024,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0203,4
1024,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0011,4
1024,n<=128,sr<=5%,kvB<=4k,kp=0,0.0164,4
1024,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.0109,1
1024,n<=128,sr<=70%,kvB<=1k,kp<=512,0.0398,1
1024,n<=128,sr<=70%,kvB<=1k,kp<=8k,-0.2265,1
1024,n<=128,sr<=70%,kvB<=1k,kp=0,0.129,1
1024,n<=128,sr<=70%,kvB<=4k,kp<=4k,-0.0589,1
1024,n<=128,sr<=70%,kvB<=4k,kp<=512,0.0075,1
1024,n<=128,sr<=70%,kvB<=4k,kp<=8k,-0.0234,1
1024,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0014,1
1024,n<=128,sr>70%,kvB<=1k,kp<=4k,0.1592,2
1024,n<=128,sr>70%,kvB<=1k,kp<=512,0.5546,2
1024,n<=128,sr>70%,kvB<=1k,kp<=8k,0.1935,2
1024,n<=128,sr>70%,kvB<=1k,kp=0,0.5399,2
1024,n<=128,sr>70%,kvB<=4k,kp<=4k,0.0764,2
1024,n<=128,sr>70%,kvB<=4k,kp<=512,0.0743,2
1024,n<=128,sr>70%,kvB<=4k,kp<=8k,0.1024,2
1024,n<=128,sr>70%,kvB<=4k,kp=0,0.0817,2
1024,n<=16,sr<=15%,kvB<=1k,kp<=4k,-0.0451,2
1024,n<=16,sr<=15%,kvB<=1k,kp<=512,0.1606,2
1024,n<=16,sr<=15%,kvB<=1k,kp<=8k,-0.1351,2
1024,n<=16,sr<=15%,kvB<=1k,kp=0,0.1508,2
1024,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.1178,2
1024,n<=16,sr<=15%,kvB<=4k,kp<=512,0.3062,2
1024,n<=16,sr<=15%,kvB<=4k,kp<=8k,0.1513,2
1024,n<=16,sr<=15%,kvB<=4k,kp=0,0.2816,2
