regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,16,12,0.75,4.0,16,0,1024,4096,3328,64.544,69.665,66.655,0.4122
mixed,16,12,0.75,4.0,16,512,128,512,416,66.176,69.856,69.922,1.0179
mixed,16,12,0.75,4.0,16,512,1024,4096,3328,82.335,87.041,84.193,0.3948
mixed,16,12,0.75,4.0,16,4096,128,512,416,196.8,197.121,196.8,0.0
mixed,16,12,0.75,4.0,16,4096,1024,4096,3328,209.12,210.782,208.288,-0.5006
mixed,16,12,0.75,4.0,16,8192,128,512,416,344.032,344.864,349.919,7.0757
mixed,16,12,0.75,4.0,16,8192,1024,4096,3328,357.057,360.192,358.305,0.3981
mixed,16,12,0.75,4.0,128,0,128,512,416,54.048,54.911,55.618,1.8192
mixed,16,12,0.75,4.0,128,0,1024,4096,3328,67.902,73.088,69.601,0.3276
mixed,16,12,0.75,4.0,128,512,128,512,416,69.376,72.418,72.834,1.1368
mixed,16,12,0.75,4.0,128,512,1024,4096,3328,84.898,89.982,86.946,0.4028
mixed,16,12,0.75,4.0,128,4096,128,512,416,199.808,199.999,200.383,3.0105
mixed,16,12,0.75,4.0,128,4096,1024,4096,3328,211.743,214.4,211.294,-0.169
mixed,16,12,0.75,4.0,128,8192,128,512,416,351.842,346.079,352.8,
mixed,16,12,0.75,4.0,128,8192,1024,4096,3328,365.568,362.558,360.641,
mixed,16,12,0.75,4.0,1024,0,128,512,416,90.432,93.248,93.439,1.0678
mixed,16,12,0.75,4.0,1024,0,1024,4096,3328,107.329,112.835,109.569,0.4068
mixed,16,12,0.75,4.0,1024,512,128,512,416,109.633,109.824,110.175,2.8377
mixed,16,12,0.75,4.0,1024,512,1024,4096,3328,126.655,132.511,128.797,0.3658
mixed,16,12,0.75,4.0,1024,4096,128,512,416,247.518,248.672,247.584,0.0572
mixed,16,12,0.75,4.0,1024,4096,1024,4096,3328,261.726,266.304,261.662,-0.014
mixed,16,12,0.75,4.0,1024,8192,128,512,416,410.369,413.568,414.624,1.3301
mixed,16,12,0.75,4.0,1024,8192,1024,4096,3328,428.673,435.998,424.256,-0.603
mixed,16,12,0.75,4.0,2048,0,128,512,416,137.407,137.506,137.632,2.2727
mixed,16,12,0.75,4.0,2048,0,1024,4096,3328,155.809,160.705,158.527,0.5551
mixed,16,12,0.75,4.0,2048,512,128,512,416,157.6,158.047,159.105,3.3669
mixed,16,12,0.75,4.0,2048,512,1024,4096,3328,176.99,181.696,179.423,0.517
mixed,16,12,0.75,4.0,2048,4096,128,512,416,304.066,304.961,305.568,1.6782
mixed,16,12,0.75,4.0,2048,4096,1024,4096,3328,319.903,323.902,319.327,-0.144
mixed,16,12,0.75,4.0,2048,8192,128,512,416,481.792,479.453,479.298,
mixed,16,12,0.75,4.0,2048,8192,1024,4096,3328,491.903,501.632,490.398,-0.1547
pure,16,14,0.875,4.0,0,0,128,512,464,29.44,31.967,32.064,1.0384
pure,16,14,0.875,4.0,0,0,1024,4096,3712,46.784,50.369,48.896,0.5891
mixed,16,14,0.875,4.0,16,0,128,512,464,50.429,52.414,52.384,0.9849
mixed,16,14,0.875,4.0,16,0,1024,4096,3712,67.424,70.432,68.768,0.4468
mixed,16,14,0.875,4.0,16,512,128,512,464,66.464,69.762,69.856,1.0285
mixed,16,14,0.875,4.0,16,512,1024,4096,3712,83.871,87.712,86.047,0.5665
mixed,16,14,0.875,4.0,16,4096,128,512,464,196.769,197.184,197.761,2.3904
mixed,16,14,0.875,4.0,16,4096,1024,4096,3712,209.089,210.912,209.921,0.4564
mixed,16,14,0.875,4.0,16,8192,128,512,464,343.104,344.159,338.942,-3.945
mixed,16,14,0.875,4.0,16,8192,1024,4096,3712,364.031,365.503,355.935,-5.5
mixed,16,14,0.875,4.0,128,0,128,512,464,53.888,55.263,55.199,0.9535
mixed,16,14,0.875,4.0,128,0,1024,4096,3712,68.864,73.28,71.422,0.5793
mixed,16,14,0.875,4.0,128,512,128,512,464,69.44,72.769,72.351,0.8744
mixed,16,14,0.875,4.0,128,512,1024,4096,3712,86.464,90.016,88.321,0.5228
