pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
1024,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.0061,1
1024,n<=128,sr<=70%,kvB<=1k,kp=0,0.3047,1
1024,n<=128,sr<=70%,kvB<=4k,kp<=4k,0.1604,1
1024,n<=128,sr<=70%,kvB<=4k,kp<=512,0.1832,1
1024,n<=128,sr<=70%,kvB<=4k,kp<=8k,0.1963,1
1024,n<=128,sr<=70%,kvB<=4k,kp=0,0.1639,1
1024,n<=128,sr>70%,kvB<=1k,kp<=4k,0.5984,2
1024,n<=128,sr>70%,kvB<=1k,kp<=512,0.5533,2
1024,n<=128,sr>70%,kvB<=1k,kp<=8k,-0.104,2
1024,n<=128,sr>70%,kvB<=1k,kp=0,0.6478,2
1024,n<=128,sr>70%,kvB<=4k,kp<=4k,0.176,2
1024,n<=128,sr>70%,kvB<=4k,kp<=512,0.1776,2
1024,n<=128,sr>70%,kvB<=4k,kp<=8k,0.1663,2
1024,n<=128,sr>70%,kvB<=4k,kp=0,0.1114,2
1024,n<=16,sr<=15%,kvB<=1k,kp<=4k,1.2652,2
1024,n<=16,sr<=15%,kvB<=1k,kp=0,0.4964,2
1024,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.2914,2
1024,n<=16,sr<=15%,kvB<=4k,kp<=512,0.5034,2
1024,n<=16,sr<=15%,kvB<=4k,kp<=8k,-0.1678,2
1024,n<=16,sr<=15%,kvB<=4k,kp=0,0.4968,2
1024,n<=16,sr<=40%,kvB<=1k,kp<=4k,-2.4922,1
1024,n<=16,sr<=40%,kvB<=1k,kp<=8k,1.753,1
1024,n<=16,sr<=40%,kvB<=1k,kp=0,0.6475,2
1024,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.3787,2
1024,n<=16,sr<=40%,kvB<=4k,kp<=512,0.5059,2
1024,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.0515,2
1024,n<=16,sr<=40%,kvB<=4k,kp=0,0.5489,2
1024,n<=16,sr<=70%,kvB<=1k,kp<=4k,-0.1514,1
1024,n<=16,sr<=70%,kvB<=1k,kp=0,0.9178,1
1024,n<=16,sr<=70%,kvB<=4k,kp<=4k,0.0756,1
1024,n<=16,sr<=70%,kvB<=4k,kp<=512,0.578,1
1024,n<=16,sr<=70%,kvB<=4k,kp<=8k,-1.4068,1
1024,n<=16,sr<=70%,kvB<=4k,kp=0,0.5278,1
1024,n<=16,sr>70%,kvB<=1k,kp<=4k,0.0572,1
1024,n<=16,sr>70%,kvB<=1k,kp<=512,2.8377,1
1024,n<=16,sr>70%,kvB<=1k,kp<=8k,1.3301,1
1024,n<=16,sr>70%,kvB<=1k,kp=0,1.0896,2
1024,n<=16,sr>70%,kvB<=4k,kp<=4k,0.0987,2
1024,n<=16,sr>70%,kvB<=4k,kp<=512,0.4091,2
1024,n<=16,sr>70%,kvB<=4k,kp<=8k,-0.3435,2
1024,n<=16,sr>70%,kvB<=4k,kp=0,0.4408,2
1024,n<=2,sr<=70%,kvB<=1k,kp=0,0.7556,1
1024,n<=2,sr<=70%,kvB<=4k,kp<=4k,-0.3368,1
1024,n<=2,sr<=70%,kvB<=4k,kp<=512,0.1243,1
1024,n<=2,sr<=70%,kvB<=4k,kp<=8k,0.8245,1
1024,n<=2,sr<=70%,kvB<=4k,kp=0,-0.368,1
2048,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.4357,2
2048,n<=128,sr<=15%,kvB<=1k,kp<=512,0.4163,2
2048,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0011,2
2048,n<=128,sr<=15%,kvB<=1k,kp=0,0.4257,2
2048,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.3467,2
2048,n<=128,sr<=15%,kvB<=4k,kp<=512,0.3537,2
2048,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.328,2
2048,n<=128,sr<=15%,kvB<=4k,kp=0,0.3573,2
2048,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.378,1
2048,n<=128,sr<=40%,kvB<=1k,kp<=512,0.3315,1
2048,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.01,1
2048,n<=128,sr<=40%,kvB<=1k,kp=0,0.3674,1
2048,n<=128,sr<=40%,kvB<=4k,kp<=4k,0.2858,1
2048,n<=128,sr<=40%,kvB<=4k,kp<=512,0.2846,1
2048,n<=128,sr<=40%,kvB<=4k,kp<=8k,0.2642,1
2048,n<=128,sr<=40%,kvB<=4k,kp=0,0.3168,1
2048,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.389,4
2048,n<=128,sr<=5%,kvB<=1k,kp<=512,0.369,4
2048,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.0455,4
2048,n<=128,sr<=5%,kvB<=1k,kp=0,0.3709,4
2048,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.3774,4
2048,n<=128,sr<=5%,kvB<=4k,kp<=512,0.3569,4
2048,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.3631,4
2048,n<=128,sr<=5%,kvB<=4k,kp=0,0.3704,4
2048,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.2335,1
2048,n<=128,sr<=70%,kvB<=1k,kp<=512,0.3167,1
2048,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.0142,1
2048,n<=128,sr<=70%,kvB<=1k,kp=0,0.285,1
2048,n<=128,sr<=70%,kvB<=4k,kp<=4k,0.1615,1
2048,n<=128,sr<=70%,kvB<=4k,kp<=512,0.1937,1
2048,n<=128,sr<=70%,kvB<=4k,kp<=8k,0.1284,1
2048,n<=128,sr<=70%,kvB<=4k,kp=0,0.1605,1
2048,n<=128,sr>70%,kvB<=1k,kp<=4k,0.4902,2
2048,n<=128,sr>70%,kvB<=1k,kp<=512,0.617,2
2048,n<=128,sr>70%,kvB<=1k,kp<=8k,-0.6554,2
2048,n<=128,sr>70%,kvB<=1k,kp=0,0.6366,2
2048,n<=128,sr>70%,kvB<=4k,kp<=4k,0.1258,2
2048,n<=128,sr>70%,kvB<=4k,kp<=512,0.1522,2
2048,n<=128,sr>70%,kvB<=4k,kp<=8k,0.0342,2
2048,n<=128,sr>70%,kvB<=4k,kp=0,0.1141,2
2048,n<=16,sr<=15%,kvB<=1k,kp<=4k,-0.2055,2
2048,n<=16,sr<=15%,kvB<=1k,kp<=8k,1.1759,2
2048,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.2457,2
2048,n<=16,sr<=15%,kvB<=4k,kp<=512,0.4236,2
2048,n<=16,sr<=15%,kvB<=4k,kp<=8k,-0.0981,2
2048,n<=16,sr<=15%,kvB<=4k,kp=0,0.4313,2
2048,n<=16,sr<=40%,kvB<=1k,kp<=4k,0.213,2
2048,n<=16,sr<=40%,kvB<=1k,kp=0,9.9687,1
2048,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.2654,2
2048,n<=16,sr<=40%,kvB<=4k,kp<=512,0.4811,2
2048,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.0622,2
2048,n<=16,sr<=40%,kvB<=4k,kp=0,0.4641,2
2048,n<=16,sr<=70%,kvB<=1k,kp<=4k,-1.6483,1
2048,n<=16,sr<=70%,kvB<=1k,kp<=512,2.7248,1
2048,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.9548,1
2048,n<=16,sr<=70%,kvB<=1k,kp=0,1.3987,1
2048,n<=16,sr<=70%,kvB<=4k,kp<=4k,-0.0198,1
2048,n<=16,sr<=70%,kvB<=4k,kp<=512,0.5455,1
2048,n<=16,sr<=70%,kvB<=4k,kp<=8k,-2.6073,1
2048,n<=16,sr<=70%,kvB<=4k,kp=0,0.5326,1
2048,n<=16,sr>70%,kvB<=1k,kp<=4k,1.1016,2
2048,n<=16,sr>70%,kvB<=1k,kp<=512,3.3669,1
2048,n<=16,sr>70%,kvB<=1k,kp=0,0.9452,2
2048,n<=16,sr>70%,kvB<=4k,kp<=4k,-0.156,2
2048,n<=16,sr>70%,kvB<=4k,kp<=512,0.4941,2
2048,n<=16,sr>70%,kvB<=4k,kp<=8k,-0.2301,2
2048,n<=16,sr>70%,kvB<=4k,kp=0,0.5519,2
2048,n<=2,sr<=70%,kvB<=1k,kp<=4k,0.6867,1
2048,n<=2,sr<=70%,kvB<=1k,kp<=512,8.712,1
2048,n<=2,sr<=70%,kvB<=1k,kp<=8k,4.6757,1
2048,n<=2,sr<=70%,kvB<=1k,kp=0,2.7875,1
2048,n<=2,sr<=70%,kvB<=4k,kp<=4k,1.4374,1
2048,n<=2,sr<=70%,kvB<=4k,kp<=512,0.8878,1
2048,n<=2,sr<=70%,kvB<=4k,kp<=8k,0.4679,1
2048,n<=2,sr<=70%,kvB<=4k,kp=0,0.2502,1
