regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,16,12,0.75,4.0,2048,0,1024,4096,3328,236.672,243.425,236.801,0.0191
mixed,16,12,0.75,4.0,2048,512,128,512,416,254.686,255.422,257.439,3.7405
mixed,16,12,0.75,4.0,2048,512,1024,4096,3328,282.11,288.639,282.783,0.1031
mixed,16,12,0.75,4.0,2048,4096,128,512,416,550.048,550.432,553.984,10.25
mixed,16,12,0.75,4.0,2048,4096,1024,4096,3328,575.743,581.118,570.528,-0.9702
mixed,16,12,0.75,4.0,2048,8192,128,512,416,864.257,863.551,866.813,
mixed,16,12,0.75,4.0,2048,8192,1024,4096,3328,894.878,898.588,887.998,-1.8544
pure,16,14,0.875,4.0,0,0,128,512,464,29.728,32.736,32.706,0.99
pure,16,14,0.875,4.0,0,0,1024,4096,3712,57.376,61.28,57.441,0.0166
mixed,16,14,0.875,4.0,16,0,128,512,464,50.975,54.048,53.696,0.8855
mixed,16,14,0.875,4.0,16,0,1024,4096,3712,79.106,81.599,78.849,-0.1031
mixed,16,14,0.875,4.0,16,512,128,512,464,68.288,71.521,71.426,0.9706
mixed,16,14,0.875,4.0,16,512,1024,4096,3712,96.513,98.496,96.959,0.2249
mixed,16,14,0.875,4.0,16,4096,128,512,464,196.863,197.887,197.567,0.6875
mixed,16,14,0.875,4.0,16,4096,1024,4096,3712,222.786,225.152,223.073,0.1213
mixed,16,14,0.875,4.0,16,8192,128,512,464,347.008,353.598,340.543,-0.981
mixed,16,14,0.875,4.0,16,8192,1024,4096,3712,377.599,381.504,375.168,-0.6225
mixed,16,14,0.875,4.0,128,0,128,512,464,54.334,57.025,56.926,0.9632
mixed,16,14,0.875,4.0,128,0,1024,4096,3712,81.791,84.734,82.238,0.1519
mixed,16,14,0.875,4.0,128,512,128,512,464,71.615,74.017,74.72,1.2927
mixed,16,14,0.875,4.0,128,512,1024,4096,3712,100.255,103.648,100.674,0.1235
mixed,16,14,0.875,4.0,128,4096,128,512,464,200.287,200.992,201.664,1.9532
mixed,16,14,0.875,4.0,128,4096,1024,4096,3712,225.375,229.566,226.592,0.2904
mixed,16,14,0.875,4.0,128,8192,128,512,464,351.456,357.28,350.399,-0.1815
mixed,16,14,0.875,4.0,128,8192,1024,4096,3712,376.637,378.974,381.759,2.1917
mixed,16,14,0.875,4.0,1024,0,128,512,464,101.951,104.863,103.936,0.6817
mixed,16,14,0.875,4.0,1024,0,1024,4096,3712,130.718,133.312,131.521,0.3096
mixed,16,14,0.875,4.0,1024,512,128,512,464,122.272,122.975,124.064,2.5491
mixed,16,14,0.875,4.0,1024,512,1024,4096,3712,150.72,153.793,150.271,-0.1461
mixed,16,14,0.875,4.0,1024,4096,128,512,464,265.185,264.575,265.119,
mixed,16,14,0.875,4.0,1024,4096,1024,4096,3712,291.326,296.352,292.159,0.1657
mixed,16,14,0.875,4.0,1024,8192,128,512,464,444.702,437.63,445.15,
mixed,16,14,0.875,4.0,1024,8192,1024,4096,3712,470.016,474.143,465.472,-1.101
mixed,16,14,0.875,4.0,2048,0,128,512,464,210.24,210.014,209.857,
mixed,16,14,0.875,4.0,2048,0,1024,4096,3712,240.48,244.351,240.32,-0.0413
mixed,16,14,0.875,4.0,2048,512,128,512,464,255.169,254.847,255.584,
mixed,16,14,0.875,4.0,2048,512,1024,4096,3712,285.505,288.575,286.941,0.4678
mixed,16,14,0.875,4.0,2048,4096,128,512,464,547.968,549.951,551.197,1.6283
mixed,16,14,0.875,4.0,2048,4096,1024,4096,3712,581.853,582.655,575.134,-8.3778
mixed,16,14,0.875,4.0,2048,8192,128,512,464,863.101,866.843,867.23,1.1034
mixed,16,14,0.875,4.0,2048,8192,1024,4096,3712,898.207,900.349,889.756,-3.9454
pure,128,1,0.0078,4.0,0,0,128,512,131,39.168,73.857,46.205,0.2029
pure,128,1,0.0078,4.0,0,0,1024,4096,1048,106.336,277.6,144.545,0.2231
mixed,128,1,0.0078,4.0,16,0,128,512,131,61.025,92.67,68.576,0.2386
mixed,128,1,0.0078,4.0,16,0,1024,4096,1048,127.68,298.336,165.569,0.222
mixed,128,1,0.0078,4.0,16,512,128,512,131,79.039,111.296,86.878,0.243
mixed,128,1,0.0078,4.0,16,512,1024,4096,1048,145.246,315.904,183.84,0.2261
mixed,128,1,0.0078,4.0,16,4096,128,512,131,206.078,236.415,212.576,0.2142
mixed,128,1,0.0078,4.0,16,4096,1024,4096,1048,272.225,442.973,310.784,0.2258
mixed,128,1,0.0078,4.0,16,8192,128,512,131,355.934,394.656,361.216,0.1364
mixed,128,1,0.0078,4.0,16,8192,1024,4096,1048,425.856,596.894,459.839,0.1987
mixed,128,1,0.0078,4.0,128,0,128,512,131,63.296,94.369,70.819,0.2421
mixed,128,1,0.0078,4.0,128,0,1024,4096,1048,131.487,302.08,167.902,0.2135
mixed,128,1,0.0078,4.0,128,512,128,512,131,80.064,112.348,88.192,0.2518
mixed,128,1,0.0078,4.0,128,512,1024,4096,1048,148.866,318.977,183.903,0.206
mixed,128,1,0.0078,4.0,128,4096,128,512,131,208.097,239.87,215.552,0.2346
mixed,128,1,0.0078,4.0,128,4096,1024,4096,1048,275.166,446.4,313.312,0.2228
mixed,128,1,0.0078,4.0,128,8192,128,512,131,370.526,404.959,364.893,-0.1636
mixed,128,1,0.0078,4.0,128,8192,1024,4096,1048,431.613,600.577,465.695,0.2017
mixed,128,1,0.0078,4.0,1024,0,128,512,131,109.024,139.392,116.193,0.2361
mixed,128,1,0.0078,4.0,1024,0,1024,4096,1048,177.344,357.6,215.937,0.2141
mixed,128,1,0.0078,4.0,1024,512,128,512,131,129.247,159.392,135.937,0.2219
mixed,128,1,0.0078,4.0,1024,512,1024,4096,1048,196.672,377.344,236.191,0.2187
mixed,128,1,0.0078,4.0,1024,4096,128,512,131,269.92,299.871,277.185,0.2426
mixed,128,1,0.0078,4.0,1024,4096,1024,4096,1048,339.391,517.791,378.752,0.2206
mixed,128,1,0.0078,4.0,1024,8192,128,512,131,442.336,483.52,449.856,0.1826
mixed,128,1,0.0078,4.0,1024,8192,1024,4096,1048,511.775,687.166,549.758,0.2166
mixed,128,1,0.0078,4.0,2048,0,128,512,131,215.392,248.224,223.745,0.2544
mixed,128,1,0.0078,4.0,2048,0,1024,4096,1048,286.688,471.231,324.671,0.2058
mixed,128,1,0.0078,4.0,2048,512,128,512,131,259.199,292.799,268.638,0.2809
mixed,128,1,0.0078,4.0,2048,512,1024,4096,1048,331.2,515.23,372.322,0.2235
mixed,128,1,0.0078,4.0,2048,4096,128,512,131,554.557,590.399,557.983,0.0956
